Case Number,Incident Datetime,Incident ID,Incident Type Primary,Incident Description,Parent Incident Type,Hour of Day,Day of Week,Address,City,State,Location,Latitude,Longitude,Created At,updated_at,zip_code,neighborhood,Council District,Council District 2011,Census Tract,Census Block Group,Census Block,2010 Census Tract ,2010 Census Block Group,2010 Census Block,Police District,TRACTCE20,GEOID20_tract,GEOID20_blockgroup,GEOID20_block
20-0910455,03/31/2020 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Tuesday,500 Block NIAGARA ST,Buffalo,NY,POINT (-78.891 42.899),42.899,-78.891,,,14201,West Side,NIAGARA,ELLICOTT,70,2,2015,70,2,2018,District B,007000,36029007000,360290001102,360290170002015
21-3650875,12/31/2021 10:08:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Friday,LORING AV & HUMBOLDT PW,Buffalo,NY,POINT (-78.847 42.926),42.926,-78.847,12/31/2021 10:08:00 PM,,14214,Hamlin Park,MASTEN,MASTEN,52.02,2,2000,52.02,2,2007,District E,005202,36029005202,360290052022,360290052022000
20-3480094,12/13/2020 02:32:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Sunday,ELLICOTT ST & CARLTON ST,Buffalo,NY,POINT (-78.868 42.899),42.899,-78.868,12/13/2020 02:32:00 AM,,14203,Fruit Belt,ELLICOTT,ELLICOTT,31,4,4008,31,4,4010,District B,003100,36029003100,360290002004,360290031004008
22-3530936,12/19/2022 10:42:00 PM,,MANSLAUGHTER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Monday,300 Block RILEY ST,Buffalo,NY,POINT (-78.853 42.909),42.909,-78.853,12/19/2022 10:42:00 PM,,14208,Masten Park,ELLICOTT,ELLICOTT,33.02,1,1007,UNKNOWN,UNKNOWN,UNKNOWN,District C,003302,36029003302,360290033021,360290033021007
20-1710097,06/19/2020 02:18:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,11,Friday,300 Block DOAT ST,Buffalo,NY,POINT (-78.807 42.91),42.91,-78.807,,,14211,Schiller Park,LOVEJOY,LOVEJOY,37,2,2007,37,2,2007,District C,003700,36029003700,360290001102,360290163002007
20-2580541,09/14/2020 04:02:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Monday,1800 Block KENMORE AV,Buffalo,NY,POINT (-78.887 42.958),42.958,-78.887,,,14216,West Hertel,NORTH,NORTH,56,1,1001,56,1,1003,District D,005600,36029005600,360290001101,360290019001001
20-2630114,09/19/2020 03:08:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Saturday,JEFFERSON AV & GLENWOOD AV,Buffalo,NY,POINT (-78.854 42.912),42.912,-78.854,,,14208,Masten Park,ELLICOTT,ELLICOTT,168.02,2,2014,168,4,4014,District E,016802,36029016802,360290001102,360290163002014
21-1400131,05/20/2021 05:18:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,5,Thursday,0 Block LAYER AV,Buffalo,NY,POINT (-78.889 42.954),42.954,-78.889,,,14207,West Hertel,NORTH,NORTH,56,2,2005,56,2,2006,District D,005600,36029005600,360290056002,360290056002005
20-3240754,11/19/2020 07:57:00 PM,,MANSLAUGHTER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Thursday,0 Block HEWARD AV,Buffalo,NY,POINT (-78.906 42.949),42.949,-78.906,11/19/2020 07:57:00 PM,,14207,Riverside,NORTH,NORTH,58.02,2,2010,58.02,2,2009,District D,005802,36029005802,360290001102,360290033022010
20-2940463,10/20/2020 01:59:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Tuesday,0 Block WOOD AV,Buffalo,NY,POINT (-78.81 42.903),42.903,-78.81,10/20/2020 01:59:00 PM,,14211,Genesee-Moselle,LOVEJOY,LOVEJOY,30,2,2008,30,2,2008,District C,003000,36029003000,360290001102,360290163002008
21-3200735,11/16/2021 06:31:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Tuesday,100 Block W EAGLE ST,Buffalo,NY,,UNKNOWN,UNKNOWN,11/16/2021 06:31:00 PM,,,,,,,,,,,,,,,,
21-0380108,02/07/2021 04:48:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,4,Sunday,900 Block GLENWOOD AV,Buffalo,NY,POINT (-78.83 42.912),42.912,-78.83,,,14211,MLK Park,MASTEN,MASTEN,35.01,2,2005,35,3,3005,District C,003501,36029003501,360290035012,360290035012005
20-1250336,05/04/2020 12:49:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Monday,1500 Block S PARK AV,Buffalo,NY,POINT (-78.829 42.856),42.856,-78.829,,,14220,Hopkins-Tifft,LOVEJOY,LOVEJOY,2,4,4001,2,4,4003,District A,000200,36029000200,360290002004,360290034004001
21-0600665,03/01/2021 06:16:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Monday,500 Block HERTEL AV,Buffalo,NY,POINT (-78.887 42.947),42.947,-78.887,,,14207,West Hertel,NORTH,NORTH,56,3,3008,56,3,3010,District D,005600,36029005600,360290056003,360290056003008
19-3190189,11/15/2019 08:40:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,8,Friday,PROSPECT AV & MARYLAND ST,Buffalo,NY,POINT (-78.885 42.896),42.896,-78.885,11/15/2019 04:34:00 PM,,14201,Lower West Side,FILLMORE,ELLICOTT,71.04,1,1004,71.01,3,3007,District B,007104,36029007104,360290001101,360290055001004
20-2590575,09/15/2020 04:33:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Tuesday,1400 Block E DELAVAN AV,Buffalo,NY,POINT (-78.802 42.923),42.923,-78.802,,,14215,Kenfield,UNIVERSITY,UNIVERSITY,41,4,4000,41,4,4000,District E,004100,36029004100,360290002004,360290002004000
