Case Number,Incident Datetime,Incident ID,Incident Type Primary,Incident Description,Parent Incident Type,Hour of Day,Day of Week,Address,City,State,Location,Latitude,Longitude,Created At,updated_at,zip_code,neighborhood,Council District,Council District 2011,Census Tract,Census Block Group,Census Block,2010 Census Tract ,2010 Census Block Group,2010 Census Block,Police District,TRACTCE20,GEOID20_tract,GEOID20_blockgroup,GEOID20_block
24-2501226,09/06/2024 11:20:04 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Friday,100 Block NORTHLAND AV,Buffalo,NY,POINT (-78.855 42.919),42.919,-78.855,09/06/2024 11:20:04 PM,,14208,Masten Park,MASTEN,MASTEN,168.02,1,1010,168,3,3009,District E,016802,36029016802,360290168021,360290168021010
24-2501133,09/06/2024 09:25:47 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Friday,300 Block WALDEN AV,Buffalo,NY,POINT (-78.825 42.904),42.904,-78.825,09/06/2024 09:25:47 PM,,14211,Genesee-Moselle,ELLICOTT,FILLMORE,29,4,4001,29,4,4001,District C,002900,36029002900,360290029004,360290029004001
24-2630130,09/19/2024 04:22:39 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,4,Thursday,7TH ST & JERSEY ST,Buffalo,NY,POINT (-78.892 42.899),42.899,-78.892,09/19/2024 04:22:39 AM,,14201,West Side,NIAGARA,ELLICOTT,70,2,2014,70,2,2010,District B,007000,36029007000,360290070002,360290070002014
25-0010363,01/01/2025 06:28:35 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,6,Wednesday,0 Block IVY ST,Buffalo,NY,POINT (-78.826 42.906),42.906,-78.826,01/01/2025 06:29:35 AM,,14211,Genesee-Moselle,ELLICOTT,FILLMORE,29,4,4002,29,4,4002,District C,002900,36029002900,360290029004,360290029004002
24-2980596,10/24/2024 01:43:18 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Thursday,500 Block POTOMAC AV,Buffalo,NY,POINT (-78.885 42.924),42.924,-78.885,10/24/2024 01:43:18 PM,,14213,Elmwood Bidwell,NIAGARA,NIAGARA,63.01,4,4007,63.01,4,4007,District D,006301,36029006301,360290063014,360290063014007
24-3040867,10/30/2024 06:06:41 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Wednesday,WADE AV & HOLDEN ST,Buffalo,NY,POINT (-78.835 42.937),42.937,-78.835,10/30/2024 06:07:41 PM,,14214,Fillmore-Leroy,MASTEN,MASTEN,40.03,3,3003,40.01,3,3003,District E,004003,36029004003,360290040033,360290040033003
24-3100033,11/05/2024 12:56:04 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Tuesday,200 Block OAKMONT AV,Buffalo,NY,POINT (-78.806 42.933),42.933,-78.806,11/05/2024 12:56:04 AM,,14215,Kenfield,UNIVERSITY,UNIVERSITY,44.02,1,1002,44.02,1,1001,District E,004402,36029004402,360290044021,360290044021002
25-0370803,02/06/2025 04:51:04 PM,,MANSLAUGHTER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Thursday,500 Block DODGE ST,Buffalo,NY,,,,02/06/2025 04:51:04 PM,,,,,,,,,,,,,,,,
25-0430319,02/12/2025 10:16:54 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Wednesday,200 Block JEFFERSON AV,Buffalo,NY,POINT (-78.854 42.882),42.882,-78.854,02/12/2025 10:16:54 AM,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,14.04,1,1002,14.02,2,2002,District B,001404,36029001404,360290014041,360290014041002
25-0240922,01/24/2025 08:00:28 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Friday,0 Block PENNSYLVANIA ST,Buffalo,NY,POINT (-78.893 42.897),42.897,-78.893,01/24/2025 08:02:28 PM,,14201,West Side,NIAGARA,ELLICOTT,70,2,2017,70,2,2019,District B,007000,36029007000,360290070002,360290070002017
25-0190451,01/19/2025 12:52:09 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Sunday,1200 Block E DELAVAN AV,Buffalo,NY,POINT (-78.81 42.923),42.923,-78.81,01/19/2025 12:53:09 PM,,14215,Kenfield,UNIVERSITY,UNIVERSITY,41,2,2008,41,2,2008,District E,004100,36029004100,360290041002,360290041002008
25-0180101,01/18/2025 02:36:28 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Saturday,300 Block PERRY ST,Buffalo,NY,POINT (-78.864 42.874),42.874,-78.864,01/18/2025 02:37:28 AM,,14204,Ellicott,ELLICOTT,FILLMORE,164,1,1005,164,1,1007,District A,016400,36029016400,360290164001,360290164001005
06-0590926,02/28/2006 12:03:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Tuesday,1 Block HURLOCK AV,Buffalo,NY,POINT (-78.825 42.913),42.913,-78.825,,,14211,MLK Park,ELLICOTT,FILLMORE,35.01,2,2002,35,3,3004,District C,003501,36029003501,360290001102,360290035022002
10-0290010,01/29/2010 12:07:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Friday,1 Block CORNWALL AV,Buffalo,NY,POINT (-78.822 42.917),42.917,-78.822,,,14215,Genesee-Moselle,MASTEN,MASTEN,36,4,4006,36,2,2005,District E,003600,36029003600,360290002004,360290002004006
09-2120727,07/31/2009 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Friday,100 Block AUBURN AV,Buffalo,NY,POINT (-78.897 42.918),42.918,-78.897,,,14213,Upper West Side,NIAGARA,NIAGARA,61,1,1021,61,1,1023,District D,006100,36029006100,360290001101,360290016011021
16-3650457,12/30/2016 02:52:00 AM,,CRIM NEGLIGENT HOMICIDE,CRIM NEGLIGENT HOMICIDE,Homicide,2,Friday,1 Block PECKHAM ST,Buffalo,NY,POINT (-78.853 42.888),42.888,-78.853,12/31/2016 05:08:00 AM,,14212,Broadway Fillmore,ELLICOTT,ELLICOTT,15,2,2009,15,2,2009,District C,001500,36029001500,360290001102,360290045002009
10-0270658,01/27/2010 03:50:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,15,Wednesday,100 Block COURTLAND,Buffalo,NY,POINT (-78.807 42.925),42.925,-78.807,,,14215,Kenfield,UNIVERSITY,UNIVERSITY,41,2,2004,41,2,2004,District E,004100,36029004100,360290001102,360290165002004
09-2261165,08/14/2009 10:25:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Friday,500 Block SMITH ST,Buffalo,NY,POINT (-78.844 42.876),42.876,-78.844,,,14210,Seneca Babcock,FILLMORE,FILLMORE,163,1,1004,163,1,1005,District A,016300,36029016300,360290001101,360290055001004
08-2590038,09/15/2008 12:36:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Monday,1200 Block FILLMORE AV,Buffalo,NY,POINT (-78.839 42.908),42.908,-78.839,,,14211,MLK Park,MASTEN,MASTEN,35.02,2,2012,35,4,4008,District C,003502,36029003502,360290001102,360290163002012
07-3500008,12/16/2007 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Sunday,100 Block WINSPEAR AV,Buffalo,NY,POINT (-78.821 42.949),42.949,-78.821,,,14215,University Heights,UNIVERSITY,UNIVERSITY,47.02,1,1002,47,1,1002,District E,004702,36029004702,360290001101,360290001101002
07-1960491,07/15/2007 01:17:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Sunday,300 Block MASSACHUSETTS AV,Buffalo,NY,POINT (-78.888 42.912),42.912,-78.888,,,14213,West Side,NIAGARA,NIAGARA,69.01,1,1002,69.01,1,1002,District B,006901,36029006901,360290001101,360290001101002
10-0320210,02/01/2010 09:59:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,9,Monday,1 Block TRINITY PL,Buffalo,NY,POINT (-78.877 42.895),42.895,-78.877,,,14202,Allentown,FILLMORE,FILLMORE,68.02,2,2008,68,3,3010,District B,006802,36029006802,360290001102,360290163002008
23-2850342,10/12/2023 10:24:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Thursday,100 Block DUNLOP AV,Buffalo,NY,POINT (-78.829 42.918),42.918,-78.829,10/12/2023 10:24:00 AM,,14215,Delavan Grider,MASTEN,MASTEN,34,5,5017,34,5,5019,District E,003400,36029003400,360290034005,360290034005017
07-1940521,07/13/2007 02:46:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,14,Friday,MASSACHUSETTS AV & FARGO AV,Buffalo,NY,POINT (-78.896 42.909),42.909,-78.896,,,14213,West Side,NIAGARA,NIAGARA,70,1,1005,70,1,1005,District B,007000,36029007000,360290001101,360290002001005
11-2890731,10/16/2011 08:38:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Sunday,1 Block BIRCH PL,Buffalo,NY,POINT (-78.829 42.918),42.918,-78.829,10/17/2011 06:00:00 AM,,14215,Delavan Grider,MASTEN,MASTEN,34,5,5017,34,5,5019,District E,003400,36029003400,360290007005,360290034005017
06-2100145,07/29/2006 02:21:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Saturday,HARMONIA & WALDEN,Buffalo,NY,POINT (-78.831 42.904),42.904,-78.831,,,14211,Broadway Fillmore,ELLICOTT,FILLMORE,35.01,1,1007,35,1,1007,District C,003501,36029003501,360290001101,360290025021007
07-1650505,06/14/2007 02:10:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,14,Thursday,500 Block E AMHERST ST,Buffalo,NY,POINT (-78.816 42.94),42.94,-78.816,,,14215,Kensington-Bailey,MASTEN,MASTEN,42,1,1000,42,1,1000,District E,004200,36029004200,360290001101,360290035021000
09-2820929,10/09/2009 09:11:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Friday,1200 Block FILLMORE AV,Buffalo,NY,POINT (-78.839 42.908),42.908,-78.839,10/14/2009 01:00:00 AM,,14211,MLK Park,MASTEN,MASTEN,35.02,2,2013,35,4,4009,District C,003502,36029003502,360290001102,360290165002013
06-0611008,03/02/2006 08:26:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Thursday,1000 Block E DELAVAN AV,Buffalo,NY,POINT (-78.818 42.923),42.923,-78.818,,,14215,Delavan Grider,MASTEN,MASTEN,170,1,1009,170,1,1007,District E,017000,36029017000,360290001101,360290002001009
14-2140620,08/02/2014 02:09:00 AM,,CRIM NEGLIGENT HOMICIDE,CRIM NEGLIGENT HOMICIDE,Homicide,2,Saturday,400 Block WINSLOW AV,Buffalo,NY,POINT (-78.835 42.913),42.913,-78.835,,,14211,MLK Park,MASTEN,MASTEN,34,4,4003,34,4,4003,District C,003400,36029003400,360290002004,360290002004003
07-1530613,06/02/2007 12:42:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Saturday,900 Block FILLMORE AV,Buffalo,NY,POINT (-78.839 42.899),42.899,-78.839,,,14211,Broadway Fillmore,ELLICOTT,FILLMORE,27.03,1,1007,27.02,2,2007,District C,002703,36029002703,360290001101,360290025021007
15-2570930,09/14/2015 09:59:00 AM,,MURDER,MURDER,Homicide,9,Monday,400 Block E AMHERST ST,Buffalo,NY,POINT (-78.822 42.94),42.94,-78.822,,,14215,University Heights,MASTEN,UNIVERSITY,47.02,2,2010,47,4,4009,District E,004702,36029004702,360290001102,360290033022010
06-0380355,02/07/2006 12:32:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Tuesday,300 Block FLORIDA ST,Buffalo,NY,POINT (-78.847 42.92),42.92,-78.847,,,14208,Hamlin Park,MASTEN,MASTEN,33.01,2,2006,33.01,2,2008,District E,003301,36029003301,360290001102,360290163002006
11-2140673,08/02/2011 12:30:00 PM,,CRIM NEGLIGENT HOMICIDE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Tuesday,1 Block PETER ST,Buffalo,NY,POINT (-78.887 42.938),42.938,-78.887,,,14207,Grant-Amherst,NORTH,NORTH,55,2,2003,55,2,2003,District D,005500,36029005500,360290001102,360290170002003
06-2760767,10/03/2006 07:01:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Tuesday,1 Block FRANKLIN,Buffalo,NY,POINT (-78.878 42.883),42.883,-78.878,,,14202,Central,FILLMORE,FILLMORE,165,1,1056,165,1,1070,District B,016500,36029016500,360290001101,360290005001056
11-1010935,04/11/2011 09:17:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Monday,300 Block BIRD AV,Buffalo,NY,POINT (-78.886 42.926),42.926,-78.886,,,14213,Elmwood Bidwell,NIAGARA,NIAGARA,63.01,4,4002,63.01,4,4002,District D,006301,36029006301,360290002004,360290002004002
07-3160815,11/12/2007 07:47:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Monday,800 Block WALDEN AV,Buffalo,NY,POINT (-78.806 42.906),42.906,-78.806,,,14211,Schiller Park,LOVEJOY,LOVEJOY,30,3,3004,30,3,3005,District C,003000,36029003000,360290001103,360290001103004
11-2200374,08/06/2011 09:00:00 AM,,CRIM NEGLIGENT HOMICIDE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,9,Saturday,1 Block ZITTEL ST,Buffalo,NY,POINT (-78.807 42.855),42.855,-78.807,,,14210,Seneca-Cazenovia,SOUTH,SOUTH,10,5,5009,10,5,5011,District A,001000,36029001000,360290007005,360290045005009
06-0281127,04/19/2006 09:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,9,Wednesday,1 Block SWINBURNE ST,Buffalo,NY,POINT (-78.821 42.894),42.894,-78.821,,,14212,Lovejoy,FILLMORE,FILLMORE,24,5,5013,24,1,1006,District C,002400,36029002400,360290007005,360290059005013
09-0940607,04/04/2009 04:40:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Saturday,500 Block DODGE ST,Buffalo,NY,POINT (-78.848 42.905),42.905,-78.848,,,14208,Masten Park,ELLICOTT,ELLICOTT,33.02,2,2013,33.02,2,2015,District C,003302,36029003302,360290001102,360290165002013
08-2311181,08/18/2008 11:20:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Monday,SWINBURNE ST & BROADWAY,Buffalo,NY,POINT (-78.821 42.896),42.896,-78.821,,,14212,Lovejoy,FILLMORE,FILLMORE,24,5,5011,24,2,2002,District C,002400,36029002400,360290007005,360290059005011
09-1770809,06/26/2009 05:22:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Friday,1 Block ULLMAN ST,Buffalo,NY,POINT (-78.904 42.959),42.959,-78.904,,,14207,Riverside,NORTH,NORTH,58.01,1,1008,58.01,1,1008,District D,005801,36029005801,360290001101,360290002001008
10-2050386,07/24/2010 10:29:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Saturday,500 Block GOODYEAR AV,Buffalo,NY,POINT (-78.823 42.912),42.912,-78.823,,,14211,Genesee-Moselle,ELLICOTT,FILLMORE,36,2,2001,36,3,3006,District C,003600,36029003600,360290001102,360290033022001
11-2340372,08/22/2011 12:23:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Monday,1100 Block WILLIAM ST,Buffalo,NY,POINT (-78.829 42.884),42.884,-78.829,,,14206,Broadway Fillmore,FILLMORE,FILLMORE,17,1,1001,17,1,1001,District C,001700,36029001700,360290001101,360290019001001
07-1730183,06/22/2007 04:14:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,4,Friday,100 Block SPRENGER AV,Buffalo,NY,POINT (-78.803 42.913),42.913,-78.803,,,14211,Schiller Park,LOVEJOY,LOVEJOY,38,3,3004,38,3,3004,District C,003800,36029003800,360290001103,360290001103004
10-1980137,07/17/2010 01:52:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Saturday,1 Block HORTON PL,Buffalo,NY,POINT (-78.863 42.922),42.922,-78.863,,,14209,Elmwood Bidwell,ELLICOTT,ELLICOTT,53,2,2004,53,2,2006,District D,005300,36029005300,360290001102,360290165002004
09-3570855,12/23/2009 07:06:00 AM,,CRIM NEGLIGENT HOMICIDE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,7,Wednesday,1 BLOCK SOUTHAMPTON ST,Buffalo,NY,POINT (-78.864 42.907),42.907,-78.864,12/25/2009 01:00:00 AM,,14209,Masten Park,ELLICOTT,ELLICOTT,168.01,2,2009,168,2,2010,District B,016801,36029016801,360290001102,360290045002009
07-0960188,04/06/2007 09:06:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,9,Friday,100 Block DUNLOP AV,Buffalo,NY,POINT (-78.82 42.943),42.943,-78.82,,,14215,University Heights,UNIVERSITY,UNIVERSITY,47.01,2,2001,47,3,3001,District E,004701,36029004701,360290001102,360290033022001
06-2840437,10/11/2006 01:34:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Wednesday,600 Block MOSELLE ST,Buffalo,NY,POINT (-78.825 42.92),42.92,-78.825,,,14215,Delavan Grider,MASTEN,MASTEN,34,1,1000,34,1,1000,District E,003400,36029003400,360290001101,360290035021000
06-0260850,01/26/2006 09:50:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Thursday,2000 Block BAILEY AV,Buffalo,NY,POINT (-78.813 42.911),42.911,-78.813,,,14211,Genesee-Moselle,LOVEJOY,LOVEJOY,37,4,4009,37,3,3006,District C,003700,36029003700,360290002004,360290166004009
06-3590211,12/25/2006 10:21:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Monday,100 Block WELKER ST,Buffalo,NY,POINT (-78.855 42.914),42.914,-78.855,,,14208,Masten Park,MASTEN,MASTEN,168.02,2,2000,168,4,4000,District E,016802,36029016802,360290001102,360290046012000
10-3210796,11/17/2010 06:57:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Wednesday,1 Block LONSDALE RD,Buffalo,NY,POINT (-78.852 42.915),42.915,-78.852,11/20/2010 07:01:00 AM,,14208,Hamlin Park,MASTEN,MASTEN,33.01,3,3006,33.01,3,3008,District E,003301,36029003301,360290001103,360290163003006
07-3590653,12/25/2007 10:29:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Tuesday,2000 Block ELMWOOD AV,Buffalo,NY,POINT (-78.879 42.953),42.953,-78.879,,,14207,West Hertel,NORTH,NORTH,56,2,2007,56,2,2008,District D,005600,36029005600,360290001102,360290163002007
06-2290080,08/17/2006 02:19:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Thursday,W DELAVAN AV & HERKIMER ST,Buffalo,NY,POINT (-78.893 42.922),42.922,-78.893,,,14213,Upper West Side,NIAGARA,NIAGARA,171,4,4003,171,4,4003,District D,017100,36029017100,360290002004,360290002004003
06-1580165,06/07/2006 05:54:00 AM,,CRIM NEGLIGENT HOMICIDE,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,5,Wednesday,100 Block CARLTON ST,Buffalo,NY,POINT (-78.864 42.899),42.899,-78.864,,,14203,Fruit Belt,ELLICOTT,ELLICOTT,31,3,3011,31,3,3010,District B,003100,36029003100,360290001103,360290024003011
08-1871348,07/05/2008 10:51:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Saturday,100 Block E UTICA ST,Buffalo,NY,POINT (-78.861 42.911),42.911,-78.861,,,14209,Masten Park,ELLICOTT,ELLICOTT,168.02,2,2020,168,4,4018,District E,016802,36029016802,360290001102,360290017002020
11-1470126,05/27/2011 05:25:00 AM,,MURDER,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,5,Friday,VERMONT ST & PLYMOUTH AV,Buffalo,NY,,UNKNOWN,UNKNOWN,,,,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
09-1321088,05/12/2009 11:25:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Tuesday,300 Block MILLICENT AV,Buffalo,NY,POINT (-78.802 42.935),42.935,-78.802,,,14215,Kensington-Bailey,UNIVERSITY,UNIVERSITY,44.01,3,3005,44.01,3,3005,District E,004401,36029004401,360290001103,360290034003005
10-1600173,06/09/2010 07:25:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,7,Wednesday,100 Block SCHUELE AV,Buffalo,NY,POINT (-78.826 42.918),42.918,-78.826,,,14215,Delavan Grider,MASTEN,MASTEN,34,1,1002,34,1,1002,District E,003400,36029003400,360290001101,360290001101002
07-0070778,01/07/2007 08:05:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Sunday,200 Block WOODLAWN AV,Buffalo,NY,POINT (-78.855 42.914),42.914,-78.855,,,14208,Masten Park,MASTEN,MASTEN,168.02,2,2013,168,4,4013,District E,016802,36029016802,360290001102,360290165002013
09-1100575,04/20/2009 05:20:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Monday,200 Block ROTHER AV,Buffalo,NY,POINT (-78.832 42.9),42.9,-78.832,,,14211,Broadway Fillmore,ELLICOTT,FILLMORE,27.04,1,1002,27.02,1,1002,District C,002704,36029002704,360290001101,360290001101002
10-0910084,04/01/2010 03:13:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Thursday,100 Block NEWBURGH AV,Buffalo,NY,POINT (-78.808 42.915),42.915,-78.808,,,14211,Schiller Park,LOVEJOY,LOVEJOY,37,1,1006,37,1,1006,District E,003700,36029003700,360290001101,360290035021006
06-2760797,10/03/2006 07:36:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Tuesday,200 Block LOCKWOOD AV,Buffalo,NY,POINT (-78.824 42.844),42.844,-78.824,,,14220,Hopkins-Tifft,SOUTH,SOUTH,1.10,2,2001,1.10,4,4001,District A,000110,36029000110,360290001102,360290033022001
09-2250747,08/13/2009 05:41:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Thursday,1300 Block JEFFERSON AV,Buffalo,NY,POINT (-78.854 42.911),42.911,-78.854,,,14208,Masten Park,ELLICOTT,ELLICOTT,33.02,1,1003,33.02,1,1003,District C,003302,36029003302,360290001101,360290035021003
06-2950199,10/22/2006 03:23:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Sunday,400 Block GENESEE ST,Buffalo,NY,POINT (-78.858 42.894),42.894,-78.858,,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,25.02,3,3014,25.02,2,2010,District B,002502,36029002502,360290001103,360290163003014
